title,isbn,booktype,author,rating,ratingCount,reviewCount,year,file,genres
"The Hunger Games (The Hunger Games, #1)",9780439023481,books.book,https://www.goodreads.com/author/show/153394.Suzanne_Collins,4.33,6098247,167227,2008,files/1_2767052-the-hunger-games.html,Young Adult | Fiction | Science Fiction | Dystopia | Fantasy | Science Fiction
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",9780439358071,books.book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,4.50,2363294,39142,2003,files/1_2.Harry_Potter_and_the_Order_of_the_Phoenix.html,Fantasy | Young Adult | Fiction
To Kill a Mockingbird,null,books.book,https://www.goodreads.com/author/show/1825.Harper_Lee,4.27,4275368,87439,1960,files/1_2657.To_Kill_a_Mockingbird.html,Classics | Fiction | Historical | Historical Fiction | Academic | School
Pride and Prejudice,null,books.book,https://www.goodreads.com/author/show/1265.Jane_Austen,4.26,2827776,62229,1813,files/1_1885.Pride_and_Prejudice.html,Classics | Fiction | Romance
"Twilight (Twilight, #1)",9780316015844,books.book,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,3.59,4740250,100829,2005,files/1_41865.Twilight.html,Young Adult | Fantasy | Romance | Paranormal | Vampires | Fiction | Fantasy | Paranormal
"Moby-Dick or, the Whale",9780142437247,books.book,https://www.goodreads.com/author/show/1624.Herman_Melville,3.50,464225,14728,1851,files/2_153747.Moby_Dick_or_the_Whale.html,Classics | Fiction | Literature | Adventure
The Red Tent,9780312353766,books.book,https://www.goodreads.com/author/show/626222.Anita_Diamant,4.17,504360,18870,1997,files/2_4989.The_Red_Tent.html,Historical | Historical Fiction | Fiction | Historical | Religion | Book Club | Adult | Feminism | Adult Fiction | Womens | Novels
The Secret Life of Bees,9780142001745,books.book,https://www.goodreads.com/author/show/4711.Sue_Monk_Kidd,4.05,1083990,29699,2001,files/2_37435.The_Secret_Life_of_Bees.html,Fiction | Historical | Historical Fiction | Young Adult | Classics
"Clockwork Angel (The Infernal Devices, #1)",9781416975861,books.book,https://www.goodreads.com/author/show/150038.Cassandra_Clare,4.33,626188,29790,2010,files/2_7171637-clockwork-angel.html,Fantasy | Young Adult | Fantasy | Paranormal | Romance | Science Fiction | Steampunk
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",null,books.book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,4.56,2436508,42989,2000,files/2_6.Harry_Potter_and_the_Goblet_of_Fire.html,Fantasy | Young Adult | Fiction | Fantasy | Magic | Childrens | Adventure | Audiobook | Childrens | Middle Grade | Classics | Science Fiction Fantasy
